longitude,latitude,los_displacement_cm,coherence,distance_to_fault_km
37.54500,37.39000,1.643,0.843,60.562
36.05000,37.44500,1.235,0.899,-72.547
36.11500,37.44500,-0.393,0.819,-66.827
36.18000,37.44500,-0.158,0.888,-61.107
36.24500,37.44500,-2.483,0.837,-55.387
36.31000,37.44500,-3.290,0.730,-49.667
36.37500,37.44500,-6.298,0.772,-43.947
36.44000,37.44500,-7.160,0.790,-38.227
36.50500,37.44500,-14.437,0.779,-32.507
36.57000,37.44500,-19.064,0.781,-26.787
36.63500,37.44500,-20.038,0.783,-21.067
36.70000,37.44500,-16.754,0.807,-15.347
36.76500,37.44500,-1.867,0.799,-9.627
36.83000,37.44500,17.948,0.623,-3.907
36.89500,37.44500,36.918,0.626,1.813
36.96000,37.44500,52.237,0.731,7.533
37.02500,37.44500,56.103,0.819,13.253
37.09000,37.44500,51.570,0.810,18.973
37.15500,37.44500,42.324,0.873,24.693
37.22000,37.44500,29.908,0.808,30.413
37.28500,37.44500,17.836,0.844,36.133
37.35000,37.44500,10.047,0.832,41.853
37.41500,37.44500,3.278,0.857,47.573
37.48000,37.44500,0.941,0.793,53.293
37.54500,37.44500,2.127,0.773,59.013
36.05000,37.50000,-0.093,0.823,-74.096
36.11500,37.50000,-1.126,0.867,-68.376
36.18000,37.50000,1.532,0.751,-62.656
36.24500,37.50000,-2.010,0.848,-56.936
36.31000,37.50000,-2.692,0.806,-51.216
36.37500,37.50000,-3.071,0.844,-45.496
36.44000,37.50000,-7.142,0.823,-39.776
36.50500,37.50000,-13.206,0.865,-34.056
36.57000,37.50000,-18.741,0.832,-28.336
36.63500,37.50000,-21.887,0.823,-22.616
36.70000,37.50000,-18.216,0.804,-16.896
36.76500,37.50000,-7.466,0.796,-11.176
36.83000,37.50000,13.604,0.695,-5.456
36.89500,37.50000,32.925,0.669,0.264
36.96000,37.50000,48.873,0.705,5.984
37.02500,37.50000,55.370,0.804,11.704
37.09000,37.50000,53.353,0.777,17.424
37.15500,37.50000,44.628,0.753,23.144
37.22000,37.50000,32.845,0.834,28.864
37.28500,37.50000,22.812,0.825,34.584
37.35000,37.50000,13.486,0.820,40.304
37.41500,37.50000,5.331,0.771,46.024
37.48000,37.50000,1.917,0.772,51.744
37.54500,37.50000,1.928,0.813,57.464
36.05000,37.55500,0.624,0.823,-75.645
36.11500,37.55500,1.131,0.857,-69.925
36.18000,37.55500,-0.788,0.810,-64.205
36.24500,37.55500,-0.878,0.763,-58.485
36.31000,37.55500,-0.180,0.862,-52.765
36.37500,37.55500,-2.475,0.803,-47.045
36.44000,37.55500,-4.354,0.738,-41.325
36.50500,37.55500,-10.261,0.825,-35.605
36.57000,37.55500,-16.904,0.869,-29.885
36.63500,37.55500,-19.335,0.810,-24.165
36.70000,37.55500,-19.289,0.800,-18.445
36.76500,37.55500,-10.605,0.739,-12.725
36.83000,37.55500,7.987,0.746,-7.005
36.89500,37.55500,27.030,0.605,-1.285
36.96000,37.55500,45.408,0.741,4.435
37.02500,37.55500,52.854,0.724,10.155
37.09000,37.55500,52.171,0.820,15.875
37.15500,37.55500,45.139,0.817,21.595
37.22000,37.55500,36.349,0.767,27.315
37.28500,37.55500,25.909,0.875,33.035
37.35000,37.55500,12.851,0.771,38.755
37.41500,37.55500,7.282,0.784,44.475
37.48000,37.55500,3.329,0.730,50.195
37.54500,37.55500,1.288,0.883,55.915
36.05000,37.61000,-1.230,0.810,-77.194
36.11500,37.61000,-1.650,0.842,-71.474
36.18000,37.61000,-0.299,0.888,-65.754
36.24500,37.61000,0.029,0.807,-60.034
36.31000,37.61000,-0.054,0.802,-54.314
36.37500,37.61000,-3.320,0.831,-48.594
36.44000,37.61000,-4.549,0.826,-42.874
36.50500,37.61000,-8.202,0.802,-37.154
36.57000,37.61000,-13.680,0.881,-31.434
36.63500,37.61000,-20.096,0.881,-25.714
36.70000,37.61000,-19.704,0.790,-19.994
36.76500,37.61000,-10.143,0.802,-14.274
36.83000,37.61000,2.906,0.762,-8.554
36.89500,37.61000,18.167,0.658,-2.834
36.96000,37.61000,36.979,0.607,2.886
37.02500,37.61000,46.987,0.738,8.606
37.09000,37.61000,52.359,0.811,14.326
37.15500,37.61000,46.324,0.789,20.046
37.22000,37.61000,35.702,0.800,25.766
37.28500,37.61000,24.488,0.813,31.486
37.35000,37.61000,15.831,0.789,37.206
37.41500,37.61000,8.484,0.793,42.926
37.48000,37.61000,4.291,0.838,48.646
37.54500,37.61000,2.080,0.837,54.366
36.05000,37.66500,-1.818,0.807,-78.742
36.11500,37.66500,0.298,0.842,-73.022
36.18000,37.66500,-1.790,0.826,-67.302
36.24500,37.66500,1.194,0.814,-61.582
36.31000,37.66500,-0.564,0.836,-55.862
36.37500,37.66500,-1.076,0.844,-50.142
36.44000,37.66500,-3.253,0.825,-44.422
36.50500,37.66500,-7.778,0.814,-38.702
36.57000,37.66500,-10.582,0.813,-32.982
36.63500,37.66500,-17.123,0.803,-27.262
36.70000,37.66500,-18.011,0.788,-21.542
36.76500,37.66500,-13.611,0.772,-15.822
36.83000,37.66500,-4.083,0.762,-10.102
36.89500,37.66500,14.216,0.682,-4.382
36.96000,37.66500,32.700,0.629,1.338
37.02500,37.66500,44.754,0.679,7.058
37.09000,37.66500,50.541,0.807,12.778
37.15500,37.66500,46.745,0.821,18.498
37.22000,37.66500,36.825,0.808,24.218
37.28500,37.66500,27.680,0.819,29.938
37.35000,37.66500,17.464,0.772,35.658
37.41500,37.66500,10.052,0.796,41.378
37.48000,37.66500,3.804,0.815,47.098
37.54500,37.66500,0.217,0.844,52.818
36.05000,37.72000,0.937,0.818,-80.291
36.11500,37.72000,-1.097,0.787,-74.571
36.18000,37.72000,-0.186,0.735,-68.851
36.24500,37.72000,0.112,0.843,-63.131
36.31000,37.72000,-0.656,0.803,-57.411
36.37500,37.72000,-0.761,0.832,-51.691
36.44000,37.72000,-1.287,0.821,-45.971
36.50500,37.72000,-6.181,0.804,-40.251
36.57000,37.72000,-9.662,0.874,-34.531
36.63500,37.72000,-15.132,0.783,-28.811
36.70000,37.72000,-18.649,0.746,-23.091
36.76500,37.72000,-15.129,0.764,-17.371
36.83000,37.72000,-7.703,0.705,-11.651
36.89500,37.72000,7.400,0.713,-5.931
36.96000,37.72000,23.969,0.579,-0.211
37.02500,37.72000,39.163,0.675,5.509
37.09000,37.72000,46.151,0.795,11.229
37.15500,37.72000,44.705,0.764,16.949
37.22000,37.72000,37.718,0.836,22.669
37.28500,37.72000,27.528,0.770,28.389
37.35000,37.72000,19.789,0.805,34.109
37.41500,37.72000,10.448,0.821,39.829
37.48000,37.72000,6.833,0.829,45.549
37.54500,37.72000,2.292,0.844,51.269
36.05000,37.77500,2.361,0.869,-81.840
36.11500,37.77500,0.738,0.781,-76.120
36.18000,37.77500,4.115,0.778,-70.400
36.24500,37.77500,-0.464,0.796,-64.680
36.31000,37.77500,1.580,0.835,-58.960
36.37500,37.77500,-2.242,0.829,-53.240
36.44000,37.77500,-1.220,0.809,-47.520
36.50500,37.77500,-5.502,0.795,-41.800
36.57000,37.77500,-8.433,0.821,-36.080
36.63500,37.77500,-13.156,0.846,-30.360
36.70000,37.77500,-17.133,0.759,-24.640
36.76500,37.77500,-16.396,0.862,-18.920
36.83000,37.77500,-9.479,0.870,-13.200
36.89500,37.77500,4.440,0.676,-7.480
36.96000,37.77500,18.614,0.654,-1.760
37.02500,37.77500,32.090,0.749,3.960
37.09000,37.77500,40.459,0.773,9.680
37.15500,37.77500,44.115,0.799,15.400
37.22000,37.77500,36.256,0.808,21.120
37.28500,37.77500,29.152,0.851,26.840
37.35000,37.77500,19.644,0.771,32.560
37.41500,37.77500,11.902,0.796,38.280
37.48000,37.77500,3.993,0.796,44.000
37.54500,37.77500,1.501,0.841,49.720
36.05000,37.83000,2.138,0.885,-83.389
36.11500,37.83000,-0.632,0.804,-77.669
36.18000,37.83000,0.750,0.857,-71.949
36.24500,37.83000,-0.495,0.815,-66.229
36.31000,37.83000,2.290,0.816,-60.509
36.37500,37.83000,-0.995,0.824,-54.789
36.44000,37.83000,-0.672,0.784,-49.069
36.50500,37.83000,-3.408,0.779,-43.349
36.57000,37.83000,-6.599,0.886,-37.629
36.63500,37.83000,-9.681,0.817,-31.909
36.70000,37.83000,-15.299,0.809,-26.189
36.76500,37.83000,-13.916,0.798,-20.469
36.83000,37.83000,-8.898,0.751,-14.749
36.89500,37.83000,-0.331,0.801,-9.029
36.96000,37.83000,11.938,0.700,-3.309
37.02500,37.83000,25.812,0.647,2.411
37.09000,37.83000,36.892,0.756,8.131
37.15500,37.83000,36.299,0.726,13.851
37.22000,37.83000,35.697,0.817,19.571
37.28500,37.83000,27.960,0.812,25.291
37.35000,37.83000,19.058,0.806,31.011
37.41500,37.83000,11.792,0.829,36.731
37.48000,37.83000,7.719,0.870,42.451
37.54500,37.83000,2.791,0.809,48.171
36.05000,37.88500,0.052,0.810,-84.938
36.11500,37.88500,-0.058,0.765,-79.218
36.18000,37.88500,0.405,0.788,-73.498
36.24500,37.88500,-1.074,0.764,-67.778
36.31000,37.88500,1.188,0.815,-62.058
36.37500,37.88500,0.952,0.830,-56.338
36.44000,37.88500,-2.803,0.782,-50.618
36.50500,37.88500,-1.497,0.793,-44.898
36.57000,37.88500,-6.109,0.814,-39.178
36.63500,37.88500,-8.818,0.785,-33.458
36.70000,37.88500,-12.788,0.803,-27.738
36.76500,37.88500,-17.018,0.836,-22.018
36.83000,37.88500,-12.318,0.853,-16.298
36.89500,37.88500,-4.370,0.706,-10.578
36.96000,37.88500,10.720,0.622,-4.858
37.02500,37.88500,21.920,0.662,0.862
37.09000,37.88500,32.210,0.645,6.582
37.15500,37.88500,36.962,0.774,12.302
37.22000,37.88500,36.361,0.834,18.022
37.28500,37.88500,32.192,0.762,23.742
37.35000,37.88500,20.956,0.783,29.462
37.41500,37.88500,14.802,0.849,35.182
37.48000,37.88500,8.598,0.793,40.902
37.54500,37.88500,3.157,0.749,46.622
